Stop_ID,Latitude,Longitude,Address
254,53.390118,-6.224096,"24 Montrose Dr, Beaumont, Dublin 5, D05 H527, Ireland"
255,53.385597,-6.231519,"Saint Judes, Beaumont Rd, Beaumont, Dublin 9, Ireland"
261,53.353962,-6.262909,"4-12 Parnell Square E, Rotunda, Dublin, Ireland"
262,53.353863,-6.262794,"4-12 Parnell Square E, Rotunda, Dublin, Ireland"
263,53.353657,-6.262555,"4-12 Parnell Square E, Rotunda, Dublin, Ireland"
264,53.353443,-6.262304,"4-12 Parnell Square E, Rotunda, Dublin, Ireland"
265,53.353279,-6.262082,"Gate Theatre, Rotunda, Dublin, Co. Dublin, Ireland"
270,53.35062,-6.260426,"11 O'Connell Street Upper, North City, Dublin, Ireland"
271,53.348591,-6.259525,"14 O'Connell Street Lower, North City, Dublin, Ireland"
272,53.351463,-6.260793,"19 O'Connell Street Upper, Dublin, Ireland"
273,53.347191,-6.258871,"1-31 O'Connell Bridge, Dublin, Ireland"
274,53.350342,-6.260678,"61-67 O'Connell Street Upper, North City, Dublin, Ireland"
276,53.377399,-6.331583,"River Rd, Dublin, Ireland"
277,53.350815,-6.260511,"13-15 O'Connell Street Upper, North City, Dublin, Ireland"
278,53.351345,-6.261118,"45 O'Connell Street Upper, North City, Dublin, Ireland"
279,53.350132,-6.260571,"61-67 O'Connell Street Upper, North City, Dublin, Ireland"
281,53.350914,-6.260931,"53-61 O'Connell Street Upper, North City, Dublin, Ireland"
284,53.377285,-6.328483,"45, River Vale, River Rd, Rathborne, Dublin 15, Ireland"
288,53.349083,-6.255733,"13 Abbey Street Lower, North City, Dublin, Ireland"
289,53.348969,-6.256583,"10-12 Abbey Street Lower, North City, Dublin, Ireland"
291,53.348934,-6.2576,"107 Marlborough St, North City, Dublin, Ireland"
292,53.349201,-6.255267,"13 Abbey Street Lower, North City, Dublin, Ireland"
293,53.348885,-6.257317,"10A Abbey Street Lower, North City, Dublin 1, D01 X2E6, Ireland"
296,53.349384,-6.2577,"16 Marlborough St, North City, Dublin 1, Ireland"
297,53.348049,-6.256762,"20-32 Eden Quay, North City, Dublin, Ireland"
298,53.348095,-6.256362,"20-32 Eden Quay, North City, Dublin, Ireland"
299,53.348137,-6.256004,"20-32 Eden Quay, North City, Dublin, Ireland"
300,53.348251,-6.2559,"17 Eden Quay, North City, Dublin, Ireland"
307,53.334534,-6.280066,"33-35 O'Donovan Rd, Merchants Quay, Dublin, Ireland"
308,53.336742,-6.279476,"38-42 Oscar Square, Merchants Quay, Dublin, Ireland"
309,53.337852,-6.27889,"28-44 Ardee St, Merchants Quay, Dublin, Ireland"
310,53.348694,-6.259898,"Veritas House, Abbey Street Lower, North City, Dublin 1, Ireland"
312,53.345551,-6.266204,"14 Wellington Quay, Temple Bar, Dublin, Ireland"
313,53.346882,-6.26195,"2-22 Bachelors Walk, North City, Dublin, Ireland"
315,53.346859,-6.262036,"2-22 Bachelors Walk, North City, Dublin, Ireland"
317,53.346245,-6.259109,"Apartment 4, Sráid Westmoreland, Temple Bar, Dublin 2, Ireland"
